OBJECTID,JCODE,SIKUCHOSON,買い物,コンビニ,薬局,ドラッグストア,スポーツ,カラオケ,図書館,公民館,映画,病院,市役所,警察,銀行,郵便局,美容院,飲食店,喫茶店,公園,神社,バス,駅,,買い物施設,趣味・娯楽,医療,暮らし,交通,,総合平均,総合合計
1,11101,西区,4.08979187,7.607965738,3.410409213,0.985401449,0.171083768,0,0.425638563,1.445118964,4.608632585,2.595237383,0.061679507,1.389131601,1.202971665,2.696606646,3.293824752,3.113820416,0.42391776,5.80167848,1.389612826,10.60360456,0.503317683,,5.036055607,0.605448549,3.601934984,2.152582628,5.553461122,,3.389896578,16.94948289
2,11102,北区,9.207375679,10.69532224,4.911601623,0.940728462,1.051781513,0.091943477,1.311634874,3.104993069,6.530218487,7.040631996,0.368802627,3.557749643,3.372449413,6.126768254,6.727052755,5.695827712,3.483444407,6.654621765,1.18452379,11.93920591,3.584913648,,8.27143318,1.300216279,6.785425241,4.130137818,7.762059781,,5.64985446,28.2492723
3,11103,大宮区,8.052484119,11.11832167,5.275652973,1.442704796,1.420200823,0.015968197,1.770903196,3.563900261,8.111876867,6.311999348,0.582877498,3.075469285,4.039157967,7.313478669,7.141854718,7.375611224,5.728848949,6.383560104,1.261337041,11.99048963,1.686519974,,8.148819589,1.642735454,7.211938108,4.766910606,6.838504804,,5.721781712,28.60890856
4,11104,見沼区,5.841140008,9.567971128,4.231910009,0.599168132,0.922304816,0,1.128620508,2.050527454,4.613297084,2.712453761,0.534932286,2.021672648,2.55138358,3.769837368,5.908131875,4.315926712,2.710693256,5.821820338,0.57712019,11.20296238,0.910025995,,6.547007049,0.940124182,3.662875422,3.134613139,6.056494185,,4.068222795,20.34111398
5,11105,中央区,9.149009518,11.89899474,5.066083407,1.440794862,1.220780662,0,2.0575035,3.991432544,9.053509707,7.087536226,0.92111137,2.780990366,4.378046852,7.121947331,8.633294821,8.084367922,4.382398288,5.853154648,1.43000263,11.92631757,3.041155307,,8.70469589,1.742102314,8.070522966,4.842812692,7.483736439,,6.16877406,30.8438703
6,11106,桜区,7.981820115,11.46913316,3.516129387,1.718850347,0.538011801,0,0.996751498,2.761095643,3.290452854,3.699053245,0.183320203,2.988104972,0.542089555,4.211767388,4.755946995,4.284924867,1.086832966,5.905517683,1.5067877,11.78161914,1.10556445,,7.655694221,1.202941858,3.49475305,2.829476926,6.443591794,,4.32529157,21.62645785
7,11107,浦和区,7.762994198,11.25667799,3.128549874,2.015286545,1.297484554,0.288387762,2.026747469,4.06165579,8.257331315,7.999767903,0.733193877,4.250554814,4.831284473,7.872521997,7.3809077,6.479066949,2.277502502,6.287862097,2.073920868,11.59221586,1.190904199,,7.382740688,1.937912424,8.128549609,4.68742392,6.391560027,,5.705637334,28.52818667
8,11108,南区,9.100409881,11.33374879,6.011317859,1.516102148,0.392795613,0,0.750593547,3.236684485,5.808144569,5.823765183,0.49785976,2.344079293,1.91315643,5.376453383,6.842405047,8.535580847,2.292741084,6.611683288,1.618610893,12.09032355,1.827790142,,8.815158842,1.179235158,5.815954876,4.003618892,6.959056848,,5.354604923,26.77302462
9,11109,緑区,6.469242612,9.882243715,4.012274312,0.998042438,0.484059813,0.020056336,0.584832208,2.549453496,5.352895562,4.488860008,0.500962374,2.098845448,0.552661399,3.924397417,5.721869711,4.774138771,1.918924876,5.69333057,1.066784199,11.61286371,0.281000378,,6.787920213,0.927288858,4.920877785,2.916879418,5.946932043,,4.299979663,21.49989832
10,11110,岩槻区,4.844987432,8.322722399,3.525528238,0.926878441,0.823363346,0,0.957419971,1.451840073,3.129510637,3.146776543,0.55036127,1.197482688,1.754340712,3.9101818,4.061215524,4.720734795,1.379596326,4.011226314,1.415454275,9.153746447,0.616796735,,5.56441269,0.831900366,3.13814359,2.555621523,4.885271591,,3.395069952,16.97534976
